20000,20000
20140.4986,20140.4986
20126.07352,20126.07352
20140.50366,20140.50366
20168.30793,20168.30793
20186.07352,20186.07352
20214.90661,20214.90661
20230.49372,20230.49372
20219.84047,20219.84047
20240.16703,20240.16703
20249.27772,20249.27772
20273.16629,20273.16629
20286.83232,20286.83232
20262.94375,20262.94375
20272.05444,20272.05444
20295.94301,20295.94301
20314.14859,20314.14859
20289.7455,20289.7455
20299.91572,20299.91572
20246.37609,20246.37609
20201.20556,20201.20556
20197.08359,20197.08359
20174.8991,20174.8991
20174.51016,20174.51016
20167.38524,20167.38524
20175.72406,20175.72406
20167.81067,20167.81067
20140.4986,20140.4986
,
,
